0.35072,19.554,0.38965,1.0597e-17
0.35072,19.554,0.38965,1.0597e-17
0.35066,19.354,0.39046,9.6018e-18
0.35015,19.561,0.39766,6.3701e-19
0.35075,20.115,0.38945,1.2185e-17
0.35029,20.227,0.39583,1.8454e-18
0.35159,20.534,0.37724,4.9105e-17
0.35035,19.958,0.39503,4.8074e-18
0.35095,19.658,0.38643,1.838e-17
0.35111,20.06,0.3842,2.7104e-17
0.35084,20.25,0.38818,1.4024e-17
0.34782,20.273,0.42812,1.0131e-16
0.35022,20.29,0.39691,1.2421e-18
0.35069,20.014,0.39026,9.4496e-18
0.34869,19.965,0.41718,3.5521e-17
0.35026,19.749,0.3962,1.5065e-18
0.34895,20.028,0.41384,2.2709e-17
0.34995,19.725,0.40044,8.5978e-19
0.35058,20.085,0.39175,7.1709e-18
0.35,20.353,0.39992,1.9973e-19
0.34709,20.501,0.43701,1.8533e-16
0.34925,19.949,0.40993,1.1501e-17
0.3496,19.881,0.40525,3.1984e-18
0.35033,19.672,0.39527,3.1962e-18
0.35001,20.014,0.39965,1.0483e-20
0.35197,20.492,0.3716,7.3632e-17
0.35009,20.158,0.39868,4.1453e-19
0.3481,20.89,0.42466,7.6549e-17
0.35041,20.482,0.3942,3.4739e-18
0.35063,19.722,0.39101,8.1783e-18
