0.50025,0.91001,0.41797,0.00213
0.50001,0.91001,0.4186,0.0021289
0.50001,0.91017,0.41869,0.0021297
0.5,0.91028,0.41873,0.0021303
0.50001,0.91,0.41801,0.0021288
0.50001,0.91001,0.41774,0.0021288
0.5,0.91001,0.41792,0.0021288
0.50058,0.91002,0.41849,0.0021316
0.50001,0.91004,0.41868,0.002129
0.50056,0.91001,0.41775,0.0021314
0.50001,0.91001,0.41822,0.0021289
0.50214,0.91001,0.41721,0.0021388
0.50023,0.91001,0.41816,0.0021299
0.5,0.91,0.41792,0.0021288
0.50376,0.91001,0.4179,0.0021464
0.50056,0.91001,0.41764,0.0021315
0.50081,0.91001,0.41774,0.0021326
0.50001,0.91001,0.4177,0.0021289
0.50001,0.91001,0.41803,0.0021288
0.50001,0.91039,0.41877,0.0021308
0.50004,0.91001,0.41806,0.002129
0.50263,0.91001,0.41708,0.0021411
0.50039,0.91001,0.41794,0.0021307
0.50002,0.91001,0.41797,0.0021289
0.50004,0.91001,0.41803,0.002129
0.50333,0.91004,0.41718,0.0021445
0.50027,0.91003,0.41794,0.0021301
0.50001,0.91001,0.41805,0.0021288
0.50001,0.91001,0.41851,0.0021289
0.50022,0.91005,0.41822,0.0021301
